fetched_at_utc,observation_time_utc,station_id,wind_direction,wind_speed_kt,wind_speed,wind_gust_kt,wind_gust_10m_ms,temperature_c,dewpoint_c,altimeter_hpa,raw_metar,source
2026-05-21T20:31:19.701708+00:00,2026-05-21T18:54:00+00:00,KBOS,100,8.0,4.115552,,,15.0,5.6,1023.1,METAR KBOS 211854Z 10008KT 10SM FEW070 FEW110 SCT160 BKN200 15/06 A3021 RMK AO2 SLP228 T01500056,aviationweather_metar
2026-05-21T20:31:19.701708+00:00,2026-05-21T19:54:00+00:00,KBOS,120,7.0,3.601108,,,14.4,5.0,1022.4,METAR KBOS 211954Z 12007KT 10SM FEW070 BKN160 BKN220 14/05 A3019 RMK AO2 SLP223 T01440050,aviationweather_metar
2026-05-21T20:58:33.482879+00:00,2026-05-21T09:54:00+00:00,KBOS,340,12.0,6.173328,20.0,10.28888,18.3,2.8,1020.1,METAR KBOS 210954Z 34012G20KT 10SM OVC110 18/03 A3012 RMK AO2 SLP198 T01830028,aviationweather_metar
2026-05-21T20:58:33.482879+00:00,2026-05-21T10:54:00+00:00,KBOS,330,9.0,4.629996,,,17.8,4.4,1020.7,METAR KBOS 211054Z 33009KT 10SM -RA OVC110 18/04 A3014 RMK AO2 RAB35 SLP207 P0000 T01780044 $,aviationweather_metar
2026-05-21T20:58:33.482879+00:00,2026-05-21T11:54:00+00:00,KBOS,340,11.0,5.658884,,,17.2,3.3,1021.4,METAR KBOS 211154Z 34011KT 10SM OVC090 17/03 A3016 RMK AO2 RAE43 SLP214 P0000 60000 T01720033 10222 20172 51030,aviationweather_metar
2026-05-21T20:58:33.482879+00:00,2026-05-21T12:54:00+00:00,KBOS,350,9.0,4.629996,,,17.8,3.9,1022.1,METAR KBOS 211254Z 35009KT 10SM SCT100 SCT140 OVC200 18/04 A3018 RMK AO2 SLP220 T01780039,aviationweather_metar
2026-05-21T20:58:33.482879+00:00,2026-05-21T14:54:00+00:00,KBOS,90,10.0,5.14444,,,15.6,6.7,1022.8,METAR KBOS 211454Z 09010KT 10SM FEW110 BKN160 OVC200 16/07 A3020 RMK AO2 SLP227 T01560067 51014,aviationweather_metar
2026-05-21T20:58:33.482879+00:00,2026-05-21T15:54:00+00:00,KBOS,130,9.0,4.629996,,,15.0,7.2,1023.1,METAR KBOS 211554Z 13009KT 10SM FEW110 OVC160 15/07 A3021 RMK AO2 SLP230 BINOVC T01500072,aviationweather_metar
2026-05-21T20:58:33.482879+00:00,2026-05-21T16:54:00+00:00,KBOS,100,10.0,5.14444,,,16.1,6.1,1023.1,METAR KBOS 211654Z 10010KT 10SM FEW110 BKN160 BKN200 16/06 A3021 RMK AO2 SLP228 T01610061,aviationweather_metar
2026-05-21T20:58:33.482879+00:00,2026-05-21T17:54:00+00:00,KBOS,120,10.0,5.14444,,,15.0,6.7,1022.8,METAR KBOS 211754Z 12010KT 10SM FEW110 BKN160 BKN200 15/07 A3020 RMK AO2 SLP226 T01500067 10178 20144 58001,aviationweather_metar
2026-05-21T20:58:33.482879+00:00,2026-05-21T20:54:00+00:00,KBOS,60,5.0,2.57222,,,14.4,6.1,1022.8,METAR KBOS 212054Z 06005KT 10SM FEW110 BKN170 BKN200 14/06 A3020 RMK AO2 SLP226 T01440061 55001,aviationweather_metar
2026-05-21T22:41:04.365792+00:00,2026-05-21T21:54:00+00:00,KBOS,80,5.0,2.57222,,,14.4,7.2,1022.8,METAR KBOS 212154Z 08005KT 10SM FEW110 SCT160 BKN200 14/07 A3020 RMK AO2 SLP225 T01440072,aviationweather_metar
2026-05-21T23:39:50.569615+00:00,2026-05-21T22:54:00+00:00,KBOS,80,3.0,1.543332,,,14.4,7.8,1023.1,METAR KBOS 212254Z 08003KT 10SM FEW120 SCT170 BKN200 14/08 A3021 RMK AO2 SLP228 T01440078,aviationweather_metar
2026-05-22T01:34:59.239311+00:00,2026-05-21T23:54:00+00:00,KBOS,350,4.0,2.057776,,,16.7,2.2,1023.5,METAR KBOS 212354Z 35004KT 10SM FEW120 SCT170 BKN230 17/02 A3022 RMK AO2 SLP231 T01670022 10172 20144 53005,aviationweather_metar
2026-05-22T01:34:59.239281+00:00,2026-05-22T00:54:00+00:00,KBOS,340,8.0,4.115552,,,17.2,0.0,1024.1,METAR KBOS 220054Z 34008KT 10SM FEW120 FEW170 BKN230 17/00 A3024 RMK AO2 SLP238 T01720000,aviationweather_metar
2026-05-22T05:49:44.377729+00:00,2026-05-22T01:54:00+00:00,KBOS,330,7.0,3.601108,,,17.2,-0.6,1025.1,METAR KBOS 220154Z 33007KT 280V350 10SM FEW160 BKN250 17/M01 A3027 RMK AO2 SLP249 T01721006,aviationweather_metar
2026-05-22T05:49:44.377719+00:00,2026-05-22T02:54:00+00:00,KBOS,320,7.0,3.601108,,,16.1,-1.1,1025.5,METAR KBOS 220254Z 32007KT 10SM FEW160 BKN250 16/M01 A3028 RMK AO2 SLP253 T01611011 51022,aviationweather_metar
2026-05-22T05:49:44.377706+00:00,2026-05-22T03:54:00+00:00,KBOS,320,9.0,4.629996,,,15.6,0.0,1026.2,METAR KBOS 220354Z 32009KT 10SM FEW160 BKN250 16/00 A3030 RMK AO2 SLP259 T01560000,aviationweather_metar
2026-05-22T05:49:44.377675+00:00,2026-05-22T04:54:00+00:00,KBOS,350,9.0,4.629996,,,13.9,0.6,1026.2,METAR KBOS 220454Z 35009KT 10SM OVC250 14/01 A3030 RMK AO2 SLP260 T01390006 402280139,aviationweather_metar
2026-05-22T08:50:00.919670+00:00,2026-05-22T05:54:00+00:00,KBOS,350,8.0,4.115552,,,12.8,1.1,1026.5,METAR KBOS 220554Z 35008KT 10SM BKN250 13/01 A3031 RMK AO2 SLP264 T01280011 10178 20128 51011,aviationweather_metar
2026-05-22T08:50:00.919657+00:00,2026-05-22T06:54:00+00:00,KBOS,10,8.0,4.115552,,,11.7,1.1,1026.8,METAR KBOS 220654Z 01008KT 10SM BKN250 12/01 A3032 RMK AO2 SLP267 T01170011,aviationweather_metar
2026-05-22T08:50:00.919626+00:00,2026-05-22T07:54:00+00:00,KBOS,10,8.0,4.115552,,,11.1,0.6,1027.5,METAR KBOS 220754Z 01008KT 10SM BKN250 11/01 A3034 RMK AO2 SLP272 T01110006,aviationweather_metar
2026-05-22T11:39:11.182576+00:00,2026-05-22T08:54:00+00:00,KBOS,10,9.0,4.629996,,,10.6,0.6,1028.2,METAR KBOS 220854Z 01009KT 10SM BKN250 11/01 A3036 RMK AO2 SLP279 T01060006 53015,aviationweather_metar
2026-05-22T11:39:11.182564+00:00,2026-05-22T09:54:00+00:00,KBOS,10,6.0,3.086664,,,10.6,0.6,1028.9,METAR KBOS 220954Z 01006KT 10SM BKN220 OVC250 11/01 A3038 RMK AO2 SLP287 T01060006,aviationweather_metar
2026-05-22T11:39:11.182536+00:00,2026-05-22T10:54:00+00:00,KBOS,10,8.0,4.115552,,,11.1,1.7,1029.5,METAR KBOS 221054Z 01008KT 10SM SCT220 BKN250 11/02 A3040 RMK AO2 SLP295 T01110017,aviationweather_metar
2026-05-22T13:59:48.568579+00:00,2026-05-22T12:54:00+00:00,KBOS,30,9.0,4.629996,,,13.3,2.2,1030.9,METAR KBOS 221254Z 03009KT 10SM SCT220 BKN250 13/02 A3044 RMK AO2 SLP308 T01330022,aviationweather_metar
2026-05-22T13:59:48.568550+00:00,2026-05-22T13:54:00+00:00,KBOS,50,12.0,6.173328,,,14.4,0.6,1030.9,METAR KBOS 221354Z 05012KT 10SM SCT220 BKN250 14/01 A3044 RMK AO2 SLP308 T01440006,aviationweather_metar
2026-05-22T16:28:28.531365+00:00,2026-05-22T14:54:00+00:00,KBOS,80,11.0,5.658884,,,15.0,0.6,1030.9,METAR KBOS 221454Z 08011KT 10SM OVC250 15/01 A3044 RMK AO2 SLP307 T01500006 50004,aviationweather_metar
